CODIGO,GLOSA,FONASA,ISAPRE,PARTICULAR,N ORDEN,CATEGORIA
1502046,"MOVILIZACION ORBITARIA INTRACRANEANA, TIEMPO FACIAL",2116800,2571936,2661330,25,Cirugia
1502047,"GINECOMASTIA, CORRECCION PLASTICA",368550,418736,433335,25,Cirugia
1502048,MAMOPLASTIA DE AUMENTO (UNILATERAL),572250,649892,672525,25,Cirugia
1502049,MAMOPLASTIA DE REDUCCION,572250,649892,672525,25,Cirugia
1502050,MASTOPEXIA C/S IMPLANTE DE PROTESIS (NO INCLUYE VALOR DE LA PROTESIS),572250,649892,672525,25,Cirugia
1502051,RECONSTRUCCION AREOLA Y/O PEZON C/S PLASTIA (PROC. AUT.),368550,418736,433335,25,Cirugia
1502052,RECONSTRUCCION MAMARIA,715050,813344,841575,25,Cirugia
1502053,Abdominoplastia,572250,649892,672525,25,Cirugia
1502054,ESCARECTOMIA CON RESECCION OSEA C/S COLGAJO DE ROTACION,715050,813344,841575,25,Cirugia
1502055,"TRATAMIENTO DE ESCARAS DE DECUBITO, CON RESECCION OSEA Y COLGAJOS MUSCULARES O MUSCULOCUTANEOS",715050,813344,841575,25,Cirugia
1502056,"SINDACTILIA, TRAT. QUIR. CADA ESPACIO CON INJERTO",368550,418736,433335,25,Cirugia
1502057,"SINDACTILIA, TRAT. QUIR. CADA ESPACIO SIN INJERTO",227850,260010,269115,25,Cirugia
1502058,"POLIDACTILIA, EXTIRPACION Y PLASTIA UNILATERAL",368550,418736,433335,25,Cirugia
1502059,"LIPECTOMIA GLUTEA, UNILATERAL",572250,649892,672525,25,Cirugia
1502060,"LIPECTOMIA TROCANTEREA, UNILATERAL",572250,649892,672525,25,Cirugia
1502061,ESCAROTOMIA HASTA 10 % SUPERFICIE CORPORAL,227850,260010,269115,25,Cirugia
1502062,ESCAROTOMIA POR CADA 10 % ADICIONAL (O SU FRACCION),140700,157500,163065,25,Cirugia
1502063,ESCARECTOMIA HASTA 1 % SUPERFICIE CORPORAL,184800,196937,203805,25,Cirugia
1502064,ESCARECTOMIA HASTA 5 % SUPERFICIE CORPORAL,227850,260010,269115,25,Cirugia
1502065,ESCARECTOMIA HASTA 10% SUPERFICIE CORPORAL,368550,418736,433335,25,Cirugia
1502066,ESCARECTOMIA POR CADA 10% ADICIONAL (O SU FRACCION) (SE COBRARA COD. AD. UNA SOLA VEZ POR SUPERFICIE ENTRE EL 11% Y 50%).,572250,649892,672525,25,Cirugia
1601115,"IMPLANTES SUBCUTANEOS, INSTALACION O RETIRO",140700,157500,163065,25,Cirugia
1601124,"TRATAMIENTO POR LASER, IPL O SIMILAR POR AREA HASTA 16 CM2 POR SESION",140700,157500,163065,25,Cirugia
1602201,BIOPSIA DE PIEL Y/O MUCOSA POR CURETAJE O SECCION TANGENCIAL C/S ELECTRO POR 1 LESION,140700,157500,163065,25,Cirugia
1602202,"CABEZA, CUELLO, GENITALES HASTA 3 LESIONES: EXTIRPACION, REPARACION O BIOPSIA, TOTAL O PARCIAL, DE LESIONES BENIGNAS CUTANEAS POR EXCISION",140700,157500,163065,25,Cirugia
1602203,"RESTO DEL CUERPO HASTA 3 LESIONES: EXTIRPACION, REPARACION O BIOPSIA, TOTAL O PARCIAL, DE LESIONES BENIGNAS CUTANEAS POR EXCISION",140700,157500,163065,25,Cirugia
1602204,"CABEZA, CUELLO Y GENITALES DESDE 4 Y HASTA 6 LESIONES: EXTIRPACION, REPARACION O BIOPSIA, TOTAL O PARCIAL, DE LESIONES BENIGNAS CUTANEAS POR EXCISION",140700,157500,163065,25,Cirugia
1602205,"RESTO DEL CUERPO DESDE 4 Y HASTA 6 LESIONES: EXTIRPACION, REPARACION O BIOPSIA, TOTAL O PARCIAL, DE LESIONES BENIGNAS CUTANEAS POR EXCISION",140700,157500,163065,25,Cirugia
1602206,"EXTIRPACION DE LESIONES BENIGNAS POR SEC TANGENCIAL, CURETAJE Y/O FULGURACION HASTA 15 LESIONES",140700,157500,163065,25,Cirugia
1602207,TRATAMIENTO POR ELECTRO DE HEMANGIOMAS O TELANGECTASIAS HASTA 15 LESIONES,140700,157500,163065,25,Cirugia
1602211,"CABEZA, CUELLO, GENITALES: TRATAMIENTO QUIRURGICO DE TUMOR MALIGNO POR ESCISION TOTAL O PARCIAL, CON O SIN SUTURA, POR CADA LESION O MELANOMA CUALQUIER LOCALIZACION",184800,196937,203805,25,Cirugia
1602212,"RESTO DEL CUERPO: TRATAMIENTO QUIRURGICO DE TUMOR MALIGNO POR ESCISION TOTAL O PARCIAL, CON O SIN SUTURA, POR CADA LESION",184800,196937,203805,25,Cirugia
1602213,"CABEZA, CUELLO, GENITALES O MELANOMA CUALQUIER UBICACION: AMPLIACION DE MARGENES QUIRURGICOS DE TUMOR MALIGNO EXTIRPADO PREVIAMENTE",140700,157500,163065,25,Cirugia
1602214,RESTO DEL CUERPO: AMPLIACION DE MARGENES QUIRURGICOS DE TUMOR MALIGNO EXTIRPADO PREVIAMENTE,140700,157500,163065,25,Cirugia
1602215,"Tumores vasculares profundos cabeza, cuello, genitales",184800,196937,203805,25,Cirugia
1602216,TUMORES VASCULARES PROFUNDOS RESTO DEL CUERPO,184800,196937,203805,25,Cirugia
1602221,"HERIDA CORTANTE O CONTUSA COMPLICADA, REPARACION Y SUTURA (MAS DE 5 CM)",184800,196937,203805,25,Cirugia
1602222,"HERIDA CORTANTE O CONTUSA NO COMPLICADA, REPARACION Y SUTURA (UNA O MULTIPLE HASTA 5 CMS. DE LARGO TOTAL QUE COMPROMETA SOLO LA PIEL)",140700,157500,163065,25,Cirugia
1602223,"CABEZA, CUELLO, GENITALES: EXTIRPACION DE LESION BENIGNA SUBEPIDERMICA, INCLUYE TUMOR SOLIDO, QUISTE EPIDERMICO Y LIPOMA POR LESION",140700,157500,163065,25,Cirugia
1602224,"RESTO DEL CUERPO: EXTIRPACION DE LESION BENIGNA SUBEPIDERMICA, INCLUYE TUMOR SOLIDO, QUISTE EPIDERMICO Y LIPOMA POR LESION",140700,157500,163065,25,Cirugia
1602225,VACIAMIENTO Y CURETAJE QUIRURGICO DE LESIONES QUISTICAS O ABSCESOS,140700,157500,163065,25,Cirugia
1602231,ONICECTOMIA TOTAL O PARCIAL SIMPLE,140700,157500,163065,25,Cirugia
1602232,CIRUGIA REPARADORA UNGUEAL POR PROCESO INFLAMATORIO,140700,157500,163065,25,Cirugia
1602233,CORRECCION QUIRURGICA DE DEFECTO CONGENITO O POR TUMOR UNGUEAL,140700,157500,163065,25,Cirugia
1602240,"CURACION POR MEDICO, QUEMADURA O SIMILAR MENOR AL 5% SUPERFICIE CORPORAL EN PABELLON",119700,105081,140490,25,Cirugia
1602241,"CURACION POR MEDICO, QUEMADURA O SIMILAR 5 A 10% SUPERFICIE CORPORAL EN PABELLON",184800,196937,203805,25,Cirugia
1602242,"CURACION POR MEDICO, QUEMADURA O SIMILAR MAYOR AL 10 % SUPERFICIE CORPORAL EN PABELLON",572250,649892,672525,25,Cirugia
1701019,CINECORONARIOGRAFIA DERECHA Y/O IZQUIERDA (INCLUYE VENTRICULOGRAFIA IZQUIERDA) (A.C. 04-02-030),227850,260010,269115,25,Cirugia
1701020,"VENTRICULOGRAFIA DERECHA (INCLUYE SONDEO CARDIACO DERECHO), EN ADULTOS O NIÑOS ( A.C. 04-02-033)",227850,260010,269115,25,Cirugia
1701021,"VENTRICULOGRAFIA IZQUIERDA (INCLUYE EL SONDEO CARDIACO IZQUIERDO) , EN ADULTOS O NIÑOS (A.C.04-02-033)",227850,260010,269115,25,Cirugia
1701031,ANGIOPLASTIA INTRALUMINAL CORONARIA PROCEDIMIENTO CARDIOLOGICO (A.C.04-02-022),368550,418736,433335,25,Cirugia
1701032,ANGIOPLASTIA INTRALUMINAL PERIFERICA PROCEDIMIENTO CARDIOLOGICO (A.C.04-02-023),368550,418736,433335,25,Cirugia
1701033,BIOPSIA ENDOMIOCARDICA (PROC. COMPLETO),184800,196937,203805,25,Cirugia
1701037,PUNCION SUBCLAVIA O YUGULAR CON COLOCACION DE CATETER,184800,196937,203805,25,Cirugia
1701038,SEPTOSTOMIA DE RASHKIND O CON CONTROLADA CON BALON,184800,196937,203805,25,Cirugia
1701039,TROMBOLISIS ARTERIAL PERIFERICA,184800,196937,203805,25,Cirugia
1701040,TROMBOLISIS INTRACORONARIA,184800,196937,203805,25,Cirugia
1701041,VALVULOPLASTIA MITRAL (A.C. 04-02-033),227850,260010,269115,25,Cirugia
1701042,"VALVULOPLASTIA AORTICA Y/O PULMONAR, C/U (A.C. 04-02-033)",227850,260010,269115,25,Cirugia
1701043,ANGIOPLASTIA DE COARTACION AORTICA (A.C. 04-02-033),227850,260010,269115,25,Cirugia
1701046,ESTUDIO ELECTROFISIOLOGICO ENDOCARDIACO DE LAS ARRITMIAS,227850,260010,269115,25,Cirugia
1701050,ABLACION CON CORRIENTE CONTINUA O RADIOFRECUENCIA DE NODULO AURICULO-VENTRICULAR,227850,260010,269115,25,Cirugia
1701051,ABLACION CON CORRIENTE CONTINUA O CON RADIOFRECUENCIA DE VIAS ACCESORIAS Y OTROS,227850,260010,269115,25,Cirugia
1701055,ECOCARDIOGRAMA BIDIMENSIONAL DOPPLER COLOR TRANSESOFAGICO,184800,196937,203805,25,Cirugia
1701078,INSTALACION DE CATETER CON RESERVORIO SUBCUTANEO (CATETER DE QMT),227850,260010,269115,25,Cirugia
1701079,RETIRO DE CATETER CON RESERVORIO SUBCUTANEO (CATETER DE QMT),227850,260010,269115,25,Cirugia
1703001,"EMBOLECTOMIA Y/O TROMBECTOMIA, UNILATERAL, MIEMBRO SUPERIOR O INFERIOR (PROC. AUT.)",961800,1075314,1112685,25,Cirugia
1703002,"FISTULA ARTERIOVENOSA CONGENITA O TRAUMATICA, REPAR. QUIR.",715050,813344,841575,25,Cirugia
1703003,FISTULA ARTERIOVENOSA (DE BRESCIA O SIMILAR),715050,813344,841575,25,Cirugia
1703005,REPARACION QUIRURGICA DE VASOS ARTERIALES Y/O VENOSOS INTRA-ABDOMINALES O INTRA-TORACICOS C/S INJERTO (BIOLOGICOS O SINTETICOS),1365000,1543934,1597575,25,Cirugia
1703006,REPARACION QUIRURGICA DE VASOS ARTERIALES Y/O VENOSOS PERIFERICOS C/S INJERTO (BIOLOGICOS O SINTETICOS),961800,1075314,1112685,25,Cirugia
1703007,ANEURISMA AORTICO-ABDOMINAL TRAT. QUIR.,1921500,2164284,2239440,25,Cirugia
1703008,"ANEURISMAS PERIFERICOS, TRAT. QUIR.",715050,813344,841575,25,Cirugia
1703009,ANEURISMA TORACO-ABDOMINAL TRAT. QUIR.,2415000,2694409,2788065,25,Cirugia
1703010,"PUENTE AORTO-BIFEMORAL, PUENTES DE TRONCOS SUPRA-AORTICOS",1365000,1543934,1597575,25,Cirugia
1703011,PUENTE AORTO-UNIFEMORAL,1365000,1543934,1597575,25,Cirugia
1703012,"PUENTE AORTO-VISCERAL (RENAL, MESENTERICO O SIMILAR), C/U",1921500,2164284,2239440,25,Cirugia
1703013,PUENTE AORTO-ILIACO,1921500,2164284,2239440,25,Cirugia
1703014,"ENDARTERECTOMIA CAROTIDEA, SUBCLAVIA, VERTEBRAL, FEMORAL, O SIMILAR C/S INJERTO (PROC. AUT.)",1365000,1543934,1597575,25,Cirugia
1703015,"ENDARTERECTOMIA FEMORAL COMUN, SUPERFICIAL O PROFUNDA, POPLITEA U OTRAS C/S INJERTO (PROC. AUT.)",1365000,1543934,1597575,25,Cirugia
1703016,"ENDARTERECTOMIA RENAL, C/S INJERTO (PROC. AUT.)",1573950,1860980,1925700,25,Cirugia
1703017,PUENTE FEMORO-TIBIAL O DISTALES,1365000,1543934,1597575,25,Cirugia
1703018,PUENTE FEMORO-POPLITEO,1365000,1543934,1597575,25,Cirugia
1703019,"LIGADURA TRONCOS ARTERIALES, (PROC. AUT.)",961800,1075314,1112685,25,Cirugia
1703020,"OTRAS DERIVACIONES: FEMORO - FEMORAL, AXILO - HUMERAL, AXILO - FEMORAL, CAROTIDOSUBCLAVIO, AXILO - AXILAR O SIMILARES, C/U",1365000,1543934,1597575,25,Cirugia
1703021,ANASTOMOSIS PORTOCAVA U OTRAS PORTOSISTEMICAS,1921500,2164284,2239440,25,Cirugia
1703022,ANASTOMOSIS VENOSAS INTRAABDOMINALES,1921500,2164284,2239440,25,Cirugia
1703024,DERIVACIONES VENOSAS DE EXTREMIDADES PUENTES VENOSOS,1130850,1285969,1330665,25,Cirugia
1703025,IMPLANTE FILTROS VENOSOS,961800,1075314,1112685,25,Cirugia
1703026,"LIGADURA CAYADO SAFENA INTERNA, UNILATERAL",368550,418736,433335,25,Cirugia
1703027,"LIGADURA OTROS TRONCOS VENOSOS, LIGADURA DE VENAS COMUNICANTES Y/O PERFORANTES, Y/O RESECCION DE PAQUETES VARICOSOS, CUALQUIER TECNICA (UNA EXTREMIDAD) C/U",368550,418736,433335,25,Cirugia
1703028,LIGADURA VENA CAVA INFERIOR,961800,1075314,1112685,25,Cirugia
1703029,RESECCION CUTANEO-APONEUROTICA UNILATERAL (INCLUYE FASCIOTOMIA INTERNA O POSTERIOR),572250,649892,672525,25,Cirugia
1703030,"SAFENECTOMIA INTERNA Y/O EXTERNA, UNILATERAL, O ENDOABLACION POR CUALQUIER TECNICA (LASER, RADIOFRECUENCIA O SIMILAR).",572250,649892,672525,25,Cirugia
1703031,TROMBECTOMIA DE VENAS PROFUNDAS,572250,649892,672525,25,Cirugia
1703032,ANASTOMOSIS LINFOVENOSAS,715050,813344,841575,25,Cirugia
1703033,"LINFEDEMA, TRAT. QUIR. UNA EXTREMIDAD",715050,813344,841575,25,Cirugia
1703034,DRENAJE QUIRURGICO ADENITIS,184800,196937,203805,25,Cirugia
1703035,BIOPSIA QUIR. GANGLIONAR (CUALQUIER REGION PERIFERICA SUPERFICIAL O PROFUNDA) (PROC. AUT.),184800,196937,203805,25,Cirugia
1703036,DISECCION Y EXTIRPACION GANGLIONAR REGIONAL: AXILO-SUPRACLAVICULAR,1130850,1285969,1330665,25,Cirugia
1703037,DISECCION Y EXTIRPACION GANGLIONAR REGIONAL: CERVICO-TORACICA,1130850,1285969,1330665,25,Cirugia
1703038,DISECCION Y EXTIRPACION GANGLIONAR REGIONAL: ILEOINGUINAL,1130850,1285969,1330665,25,Cirugia
1703039,DISECCION Y EXTIRPACION GANGLIONAR REGIONAL: INGUINOESCROTALES,1130850,1285969,1330665,25,Cirugia
1703040,DISECCION Y EXTIRPACION GANGLIONAR REGIONAL: LUMBO-AORTICOS,1365000,1543934,1597575,25,Cirugia
1703041,DISECCION Y EXTIRPACION GANGLIONAR REGIONAL: MEDIASTINICOS,1365000,1543934,1597575,25,Cirugia
1703042,DISECCION Y EXTIRPACION GANGLIONAR REGIONAL: POPLITEOS,572250,649892,672525,25,Cirugia
1703043,VACIAMIENTO (DISECCION) RADICAL CUELLO (V.R.C.) CLASICO IPSILATERAL,961800,1075314,1112685,25,Cirugia
1703044,DISECCION Y EXTIRPACION GANGLIONAR REGIONAL: YUGULAR SIMPLE,368550,418736,433335,25,Cirugia
1703045,SIMPATECTOMIA CERVICO-TORACICA,1130850,1285969,1330665,25,Cirugia
1703046,SIMPATECTOMIA LUMBAR,1130850,1285969,1330665,25,Cirugia
1703047,ANASTOMOSIS VASCULARES SISTEMICOPULMONARES (BLALOCK-POTT-GLENN O SIMILARES),1921500,2164284,2239440,25,Cirugia
1703048,"CAMBIO DE GENERADOR DE MARCAPASO, SIN CAMBIO DE ELECTRODO",368550,418736,433335,25,Cirugia
1703049,COARTACION AORTICA INFANTIL (PREDUCTAL) TRAT. QUIR.,1921500,2164284,2239440,25,Cirugia
1703050,"COARTACION AORTICA, TRAT. QUIR.",1921500,2164284,2239440,25,Cirugia
1703051,"CONDUCTO ARTERIOSO PERSISTENTE, TRAT. QUIR.",1365000,1543934,1597575,25,Cirugia
1703052,"FISTULA CORONARIA, TRAT. QUIR.",1573950,1860980,1925700,25,Cirugia
1703053,IMPLANTACION DE MARCAPASO C/ELECTROD. INTRAVEN. O EPICARDICO,961800,1075314,1112685,25,Cirugia
1703054,OPERACION SOBRE ANILLOS VALVULARES O VASCULARES,1573950,1860980,1925700,25,Cirugia
1703055,"OPERACIONES SOBRE ARTERIA PULMONAR, CONSTRICCION POR CINTA",1365000,1543934,1597575,25,Cirugia
1703056,PERICARDIECTOMIA Y/O EXTIRP. DE QUISTES Y/O TUMORES,1365000,1543934,1597575,25,Cirugia
1703057,PERICARDIORRAFIA O MIOPERICARDIORRAFIA EN HERIDAS PENETRANTES,1365000,1543934,1597575,25,Cirugia
1703058,PERICARDIOTOMIA,1365000,1543934,1597575,25,Cirugia
1703061,"DE COMPLEJIDAD MAYOR: INCLUYE REEMPLAZO VALVULAR MULTIPLE, TRES O MAS PUENTES AORTOCORONARIOS Y/O ANASTOMOSIS CON ARTERIA MAMARIA, CORRECCION DE CARDIOPATIAS CONGENITAS COMPLEJAS, ANEURISMA AORTICO TORACICO",2415000,2694409,2788065,25,Cirugia
1703062,"DE COMPLEJIDAD MEDIANA, INCLUYE COMUNICACION INTERVENTRICULAR, REEMPLAZO UNIVALVULAR, UNO O DOS PUENTES AORTOCORONARIOS, ANEURISMA VENTRICULAR, CORRECCION DE WOLF-PARKINSON WHITE Y OTRAS ARRITMIAS",2415000,2694409,2788065,25,Cirugia
1703063,"(Y) DE COMPLEJIDAD MENOR: INCLUYE COMUNICACION INTERAURICULAR SIMPLE, ESTENOSIS PULMONAR VALVULAR, ESTENOSIS MITRAL O SIMILAR",2415000,2694409,2788065,25,Cirugia
1703066,INSTALACION DE CATETER VENOSO DE LARGA DURACION TUNELIZADO (INCLUYE CATETER),368550,418736,433335,25,Cirugia
1703074,RETIRO DE CATETER VENOSO DE LARGA DURACION TUNELIZADO,227850,260010,269115,25,Cirugia
1703075,FISTULA ARTERIOVENOSA PROTESICA,572250,649892,672525,25,Cirugia
1703076,TRANSPOSICION DE VENA BASILICA PARA HEMODIALISIS,1365000,1543934,1597575,25,Cirugia
1703077,"EXTRACCION DE ELECTRODO ENDOCAVITARIO, CON O SIN EXTRACCION DE GENERADOR DE MARCAPASO O DESFIBRILADOR",572250,649892,672525,25,Cirugia
1703080,IMPLANTE Y RETIRO DE IMPLANTE VENOSO (FILTRO DE VENA CAVA) POR VIA ENDOVASCULAR,715050,813344,841575,25,Cirugia
1703081,"ABLACION TRONCOS VENOSOS CON TECNICA TERMICA (LASER, RADIOFRECUENCIA U OTRAS)",227850,260010,269115,25,Cirugia
1703082,"ABLACION TRONCOS VENOSOS CON TECNICA NO TERMICA NO TUMESCENTE (CIANOCRILATO, FARMACO MECANICO U OTRAS)",227850,260010,269115,25,Cirugia
1704001,"CIRUGIA DEL OPERCULO TORACICO (RESECCION DE PRIMERA COSTILLA, CUALQUIER ABORDAJE), UNILATERAL",1365000,1543934,1597575,25,Cirugia
1704002,"CIRUGIA TORAX ABIERTO TRAUMATICO Y/O FIJACION TORAX VOLANTE, OSTEOSINTESIS COSTALES MULTIPLES Y DE ESTERNON (NO INCLUYE EL VALOR DE LA PROTESIS)",1365000,1543934,1597575,25,Cirugia
1704003,FENESTRACION O TORACOPLASTIA,1130850,1285969,1330665,25,Cirugia
1704004,"REPARACION PECTUM EXCAVATUM O CARINATUM, (PROC. AUT.)",1130850,1285969,1330665,25,Cirugia
1704005,RESECCION DE COSTILLAS Y/O PARED COSTAL Y/O CARTILAGO Y/O ESTERNON S/PLASTIA (PROC. AUT.),961800,1075314,1112685,25,Cirugia
1704006,RESECCION DE PARED COSTAL C/PLASTIA (TORACOPLASTIA OSTEOPLASTICA DE YORK O SIMILAR),961800,1075314,1112685,25,Cirugia
1704007,TORACOFRENOLAPARATOMIA EXPLORADORA C/S REPARACION VISCERAS TORACICAS Y ABDOMINALES,1365000,1543934,1597575,25,Cirugia
1704008,TORACOFRENOTOMIA EXPLORADORA,1365000,1543934,1597575,25,Cirugia
1704009,"TORACOTOMIA EXPLORADORA, C/S BIOPSIA, C/S DEBRIDACION, C/S DRENAJE",1130850,1285969,1330665,25,Cirugia
1704010,"TORACOTOMIA MINIMA C/S RESECCION COSTAL, C/S BIOPSIA, C/S DRENAJE",572250,649892,672525,25,Cirugia
1704011,MEDIASTINOTOMIA EXPLORADORA ANT. O POST. C/S BIOPSIA PROC. AUT,961800,1075314,1112685,25,Cirugia
1704012,"DRENAJE QUIR. DE MEDIASTINO, VIA CERVICAL",715050,813344,841575,25,Cirugia
1704013,"DRENAJE QUIR. DE MEDIASTINO, VIA TORACICA",961800,1075314,1112685,25,Cirugia
1704014,TIMECTOMIA VIA CERVICAL,715050,813344,841575,25,Cirugia
1704015,TIMECTOMIA VIA TORACICA MEDIOESTERNAL,961800,1075314,1112685,25,Cirugia
1704016,"CONDUCTO TORACICO, LIGADURA QUIRURGICA",1130850,1285969,1330665,25,Cirugia
